,Underlying (collateral price),Put value,Delta,Gamma,Vega,Theta,Speed,Initial Asset Weight,Maintenance Asset Weight,Leverage,Liquidation Price,Liqudidation Price Drop (%),Collateral Value,Borrow Value,Deposit Limit,Percent of Market Cap,Slippage %,Maximum Potential Exposure (Monthly Fees),Exposure Collateral Ratio (Monthly APR) (%),Collateral APR Required (%),Short Hedge Required,Months of Fees To Cover Short
0,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,2205882.352941177,1455882.3529411766,750000,0.6649710127211776,0.88,85634.89732084537,3.8821153452116564,46.58538414253988,-355312.566727568,-4.149156218361895
1,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,2941176.4705882357,1941176.4705882354,1000000,0.8866280169615702,1.16,114179.8630944605,3.8821153452116564,46.58538414253988,-473750.0889700906,-4.149156218361895
2,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,5882352.941176471,3882352.941176471,2000000,1.7732560339231405,1.53,228359.726188921,3.8821153452116564,46.58538414253988,-947500.1779401812,-4.149156218361895
3,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.67,570899.3154723025,3.8821153452116564,46.58538414253988,-2368750.444850453,-4.149156218361895
4,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.67,570899.3154723025,3.8821153452116564,46.58538414253988,-2368750.444850453,-4.149156218361895
5,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.673,570899.3154723025,3.8821153452116564,46.58538414253988,-2368750.444850453,-4.149156218361895
6,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,29411764.705882356,19411764.705882356,10000000,8.866280169615703,1.67,1141798.630944605,3.8821153452116564,46.58538414253988,-4737500.889700906,-4.149156218361895
7,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,58823529.41176471,38823529.41176471,20000000,17.732560339231405,1.67,2283597.26188921,3.8821153452116564,46.58538414253988,-9475001.779401813,-4.149156218361895
8,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,3425395.8928338154,3.8821153452116572,46.58538414253989,-14212502.669102719,-4.149156218361894
9,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,3425395.8928338154,3.8821153452116572,46.58538414253989,-14212502.669102719,-4.149156218361894
